tx,block,log_index,timestamp,timestamp_utc,main_account_transaction,direction,a0in,a1in,a0out,a1out,net_MOO_to_pool,net_mCELO_to_pool,pre0,pre1,post0,post1,pre_mCELO_per_MOO,post_mCELO_per_MOO
0xdd08798fa4ee1c9f85d6da45c2b1e9559db516c094585e31a008ebad0e08a9f8,15688861,184,1666112299,2022-10-18T16:58:19+00:00,False,sell_MOO,529847201655933482,0,0,1852246872211953640,0.529847201655933482,-1.85224687221195364,428364163401594055769459,1501988935125600403146996,428364693248795711702941,1501987082878728191193356,3.50633657866817508640851179260248955251805259462150849727289,3.50632791766143257155623881754480197932845890862207010871450
0x6798c64693bd93a23fb9db1812bb84a52abe5310c626ef7a6171adb5aaded935,15688862,65,1666112304,2022-10-18T16:58:24+00:00,False,sell_MOO,5976705132577867738,231468047362707599,0,20893128563549463980,5.976705132577867738,-20.661660516186756381,428364693248795711702941,1501987082878728191193356,428370669953928289570679,1501966421218212004436975,3.50632791766143257155623881754480197932845890862207010871450,3.50623076360421700411030834172602195746086880937933252277246
0xa84613c2324320d2921e0d2c455d5edd68324864756733b365d2fc5a24cca290,15688862,109,1666112304,2022-10-18T16:58:24+00:00,False,sell_MOO,695504753500495642,1,0,2431280426870841818,0.695504753500495642,-2.431280426870841817,428370669953928289570679,1501966421218212004436975,428371365458681790066321,1501963989937785133595158,3.50623076360421700411030834172602195746086880937933252277246,3.50621939524259784502642878494282809014300192662208693281158
0x9f288bc7fa49ac6a85c98214b59b15134cd2df34e5c00987213998881052fb77,15688864,349,1666112314,2022-10-18T16:58:34+00:00,False,complex,82834267734323041,462930627792584725,0,289563754947409465,0.082834267734323041,0.17336687284517526,428371365458681790066321,1501963989937785133595158,428371448292949524389362,1501964163304657978770418,3.50621939524259784502642878494282809014300192662208693281158,3.50621912195584229177797013642609501937791707031634659554697
0xe5206aed54d125839689ac1470f73acbbc7cc9f5ae9eeb0a043e2bf5ca9b9330,15688867,67,1666112329,2022-10-18T16:58:49+00:00,False,sell_MOO,4276131322185592725,694398249756812121,0,14947925482613710920,4.276131322185592725,-14.253527232856898799,428371448292949524389362,1501964163304657978770418,428375724424271709982087,1501949909777425121871619,3.50621912195584229177797013642609501937791707031634659554697,3.50615084875786403296274167707318737044574587249951619997958
0x3c58ef5203f2a920fa3129ee0fae4406c5b32f02e45240b9b8726cd2c22c96f1,15688876,198,1666112374,2022-10-18T16:59:34+00:00,False,complex,496135920465594344,2083174191046194859,0,1734306793891378634,0.496135920465594344,0.348867397154816225,428375724424271709982087,1501949909777425121871619,428376220560192175576431,1501950258644822276687844,3.50615084875786403296274167707318737044574587249951619997958,3.50614760240590811367631688880180318178803601923404502594864
0x960a595673ec531a58fdd6fb327cf2cdd1df9b3e080e13d7bafd16bb00f67ca9,15688877,98,1666112379,2022-10-18T16:59:39+00:00,False,sell_MOO,8147268485651505687,231463531733448288,0,28479289268112721557,8.147268485651505687,-28.247825736379273269,428376220560192175576431,1501950258644822276687844,428384367828677827082118,1501922010819085897414575,3.50614760240590811367631688880180318178803601923404502594864,3.50601498003247401893148239563932454380678833204320521870294
0xce1279ef3e5e437a7a1676e995049016031cae96f5965ac13703501f9edbb5b1,15688881,284,1666112399,2022-10-18T16:59:59+00:00,False,sell_MOO,4292935336151049845,243681109621230676,0,15005806493933162745,4.292935336151049845,-14.762125384311932069,451004783140103659258271,1581230220132929293601164,451009076075439810308116,1581215458007544981669095,3.50601651965567635626927692653515722270760897865073085906467,3.50595041626846717230174212518806224676927076560895664187996
0xbcd06ef3fc37b13f0e9bc8693357e2ff2865b3e85f5137fcb2e02d7583ceb90c,15688887,104,1666112429,2022-10-18T17:00:29+00:00,False,sell_MOO,8059720973434847911,1462021875999759041,0,28171709225600831474,8.059720973434847911,-26.709687349601072433,451009076075439810308116,1581215458007544981669095,451017135796413245156027,1581188748320195380596662,3.50595041626846717230174212518806224676927076560895664187996,3.50582854358317693016465155690543580431337630770572507324885
0xd02db4a5bea0b227ee213693f447b351a0d7378ca4e663fa60825de3e134f114,15688887,156,1666112429,2022-10-18T17:00:29+00:00,False,sell_MOO,8251762305346571595,0,0,28841949927244000775,8.251762305346571595,-28.841949927244000775,451017135796413245156027,1581188748320195380596662,451025387558718591727622,1581159906370268136595887,3.50582854358317693016465155690543580431337630770572507324885,3.50570045497587060520139825302805976050401164554095990276998
