tx,block,log_index,timestamp,timestamp_utc,MOO_raw,mCELO_raw,mCELO_per_MOO
0x8d2f331d4ed38d6833f91fa20aa09d376d40466a83582f62356f6999ccae50ee,15688799,152,1666111989,2022-10-18T16:53:09+00:00,382253415382251643863783,1683518276924341772546132,4.40419420514747081522650135246070373940643770296488073266479
0xee91e681c56e6aa6f3e32634d49924dcfec09cfb710f952c7e0adbdbe1edd816,15688809,241,1666112039,2022-10-18T16:53:59+00:00,382253484501841922667845,1683520567807556705491596,4.40419940187476436406317044502432529231735973580550499670597
0xba99bf9036b4b82da7216ca3ea2fe3b01045006abf88a1a844d5914445b2f9f6,15688811,72,1666112049,2022-10-18T16:54:09+00:00,382253496202371544846771,1683521035283446024368244,4.40420049001242140997848309268488490163233099670200107950941
0xeab8fa9f62d67ad28b2f2a7639e5e050017cba01168190e92ac864e5361f99c3,15688811,125,1666112049,2022-10-18T16:54:09+00:00,382298381661288984415459,1683323966847968487847200,4.40316791175791573982645380075916176694579519246033564963564
0x060fb313d4e284e3c74b1e37739f9f900e6ae69db3db33cad33c43c34945b73c,15688812,65,1666112054,2022-10-18T16:54:14+00:00,382298391739822433393825,1683324182008756848210474,4.40316835848569950845775287389386523001276224622300892639376
0x7a8c06f9efde17a286054f37edc965fd9830935d8f171706718eb4e27cc73e0c,15688815,211,1666112069,2022-10-18T16:54:29+00:00,382346295487856889691325,1683114690976360808321215,4.40206878120469618913244613711596872054049259725168203146733
0xaac2b34b26840856e9341d553f9902dfff7257a138025aee4f8e3936e98471a8,15688816,14,1666112074,2022-10-18T16:54:34+00:00,382346851250437794573750,1683112511172099069688694,4.40205668143362766390827555020426774927285549569509163927191
0x6a75e3403df82f6a5eb8331b1fefeec97cddaf7b85c7d96b418ebcf9e353bd02,15688818,163,1666112084,2022-10-18T16:54:44+00:00,404967266561863627573750,1589365088032433573162594,3.92467544729232804040338583825483286507473330313961317531195
0x3dde746e3f117644ce9e223e3982c7d62046f7b563b31ef31ed29f8658c2ff7b,15688818,195,1666112084,2022-10-18T16:54:44+00:00,405016210556583520625990,1589173598079827771544508,3.92372837594807678951721304488152183691621725235866979720713
0x77efb0ce2d376e974c50aa4f49b1b2546bce074eff2efcd353c1bc1fdb36e0a9,15688819,62,1666112089,2022-10-18T16:54:49+00:00,405016226603332870072283,1589173780203875368172596,3.92372867016088606835106494516962017071335902024311366768960
0x04b8b137f368ca1d7c780412214f5e53a122c4efee788c0f7393e4110b20463e,15688819,77,1666112089,2022-10-18T16:54:49+00:00,405016300904779417790552,1589173489539828625850137,3.92372723268105749002209552056015952182003464169416156256990
0x3a3fe2ec078909189b6e5d84e5b754d1160bfcbd5ea25124afc35b659330c733,15688820,98,1666112094,2022-10-18T16:54:54+00:00,405016374810873252342187,1589173445320677401744316,3.92372640751317527815105608829518011917467003729983754036496
0x9754c8200dd210d71db536da59c4751cbdf7d8bcb66a7cf03e995616858984a4,15688820,139,1666112094,2022-10-18T16:54:54+00:00,405016378865007138424707,1589173429461087308168679,3.92372632907955150467988220606938617640967423306025856891095
0xd82b70c4df534fab72f8b0fef4b3adea80ad7bcdcbc5372fa31e558ffcbe5d29,15688821,106,1666112099,2022-10-18T16:54:59+00:00,405016768986324929975586,1589172148223723854376839,3.92371938623948923887597043469952353328453014121266531346953
0x99b2e7aa6ed2736aec3fc5c435dd1a959c09971c686acf6439e49008a4032230,15688821,120,1666112099,2022-10-18T16:54:59+00:00,405017159069529258179036,1589170622239889188000088,3.92371183949536423095514962536699780864338267789339215657217
0x97967f459989e49904bf3d552bc4266c6f4d9fc65773a2dba7be4f075b9bcc02,15688822,177,1666112104,2022-10-18T16:55:04+00:00,405017244783704210846162,1589170531828988929289253,3.92371078588930466438436723582976265985689046653325533981264
0x188adeeef5832a7ba907b334811903adc0bc7d8002f1d7ec5d2e152dc988af73,15688823,86,1666112109,2022-10-18T16:55:09+00:00,405017248415811703375811,1589170762518486296378518,3.92371132028175059037784724715557533877147167974399082725073
0x0e23c9739f8e12be8477c071a8337aecae094dc842b764d536882090b586a91d,15688824,66,1666112114,2022-10-18T16:55:14+00:00,405021919349243711147517,1589152735214501160545520,3.92362156045238876475402810791912273760620131489235714003533
0x860e3719183049117aa51176a0f7dbf9623b115708c89777677422d55476bbb3,15688824,188,1666112114,2022-10-18T16:55:14+00:00,404911039084992245271174,1588717683019055450785716,3.92362156045238876475402813168712400898842095609191271745811
0x500cf27cb1d86d34e50632552172e30fd62170f28b09071e4f659cfe9fa8958a,15688825,137,1666112119,2022-10-18T16:55:19+00:00,404911079362537948964597,1588717770289192228536841,3.92362138568880842812303095349955421505173709338682487162026
0x70c7ee31a42d993abeb58b893eb1fadb3782cb69b2c1d727826911e5c19adcc5,15688827,35,1666112129,2022-10-18T16:55:29+00:00,404914559707867029459378,1588704645474957391593664,3.92355524736170821095118132792690028917873162239001338410280
0x8d2c8ab33fb44952d88aed51c5d69a5ed22a033af6ac7d177cdfd197f5d43a33,15688827,176,1666112129,2022-10-18T16:55:29+00:00,404914744490228572756468,1588703922646493423734590,3.92355167171451847051963001014109608170539098679833743249583
0xfa16681271f471c9b6ae03c7b318699022ced3b45567756a678e8dcc2d87d2f9,15688828,87,1666112134,2022-10-18T16:55:34+00:00,404914747018109402741357,1588704157586937208361495,3.92355222744180275779879919654973777262540504538457325862733
0xb184f8c5b402e3975a36fb5bcc367d0fa8cf2485d6f4af2bd67d8a6f570f1e41,15688828,122,1666112134,2022-10-18T16:55:34+00:00,404924747018109402741357,1588665040734383025107895,3.92335872883396119474175370254627170654363301338650701354157
0xcf27b1e672f4e95341978c3bbf0d9f8b672a026c3b06c9076895a309b5ddaf65,15688828,173,1666112134,2022-10-18T16:55:34+00:00,404927668718280482065558,1588653612327360712622147,3.92330219704653355334242079363679499077775524763530705401211
0xdfaf89de3cdb0778bd3fe51d1a88fbc8698c5068f53066c3d0c25c8d945acf77,15688828,218,1666112134,2022-10-18T16:55:34+00:00,404929530764145145869217,1588646328908226844278579,3.92326616907954834813732493475908161425896716396248706643428
0xf6a134ca5bf3de671475d8bc8123e782d662d2bafde0e30f66ae04314cf0531a,15688828,252,1666112134,2022-10-18T16:55:34+00:00,404929677729101688768752,1588645754055540736295756,3.92326332553561595378752240958034691572155691792406774127031
0xb2c78c25bb0810bd7221fd8d0b5ac8ffda4e406102dc6c05bb33ee99c31042d1,15688831,83,1666112149,2022-10-18T16:55:49+00:00,404935006600925444619934,1588625155305531454907553,3.92316082682168577624583926949034738137134339144529067979914
0x58b5abd02feffe6cb8cbd8efcbcce2beeda50c666e74deeab71bd2aaaa7ec222,15688832,127,1666112154,2022-10-18T16:55:54+00:00,404938159473853710571810,1588613068088343257691033,3.92310043131639653986249850591127789378256339760022119400489
0xba82c6c48262ac71faaa386a9ff6f21096910c48a0b3731b13d150fb3ff85830,15688836,63,1666112174,2022-10-18T16:56:14+00:00,428263610058867347489539,1502335440245082134956435,3.50796893539139902326569686417995463833371404744652234093610
0xa90ab5e8de03c04b3839ca1b73ffab3ff5aeea30248c404d92f74754b246528a,15688837,219,1666112179,2022-10-18T16:56:19+00:00,428263629690647768491414,1502335371584012437256058,3.50796861426035723869332927547221085008555960699180603477352
