episode_id,block,timestamp_utc,tx_index,tx_hash,origin,input_weth,actual_pepe,counterfactual_pepe,shortfall_pepe,shortfall_bps,counterfactual_reserve0_raw,counterfactual_reserve1_raw,input_raw,actual_output_raw,counterfactual_output_raw
17075396-3,17075396,2023-04-18T18:42:11+00:00,5,0xdbf4b9ebcd00fad51d1e23601f3f05c32b453138a23468b48cd9904b2b23533a,0xbb058d516cab5323b839e973962fcef48c243c19,2,24262987605.022762206103992774,25464292625.689353383098864814,1201305020.66659117699487204,471.7606093855003363894167339770308433604896035026214190266768243214248,5197387984379133991966437193411,404991255518027040314,2000000000000000000,24262987605022762206103992774,25464292625689353383098864814
17075396-3,17075396,2023-04-18T18:42:11+00:00,6,0x60620ac9dd605d61f02e196922068e253d7952757f9c1e9863cf572bb5aae30c,0x711df27b298e67dfb7ed2ea143e5bb535dca2e86,1.195988168947376436,14398346081.997460224101708038,15108402261.923789143379969032,710056179.926328919278260994,469.9743676509151674274334036263571147242248204101204973368116244437401,5171923691753444638583338328597,406991255518027040314,1195988168947376436,14398346081997460224101708038,15108402261923789143379969032
17075396-3,17075396,2023-04-18T18:42:11+00:00,7,0x2fc48f96e606e685727123ec53a6bfe6eae505ff42e662ce96e5742a45686569,0xac41a4d398ec9c92dff4a1f1a9ca8f4d4108bb8a,2.436,29073929423.055254407625564896,30501290745.358273382530462977,1427361322.303018974904898081,467.9675146273069449628329701142811646602102519959344748498990770079114,5156815289491520849439958359565,408187243686974416750,2436000000000000000,29073929423055254407625564896,30501290745358273382530462977
17075455-11,17075455,2023-04-18T18:53:59+00:00,12,0xe5664ef6fd1f4f887f46ea03f08b1aee978fdd90449d0b7f1e95cd2d9b7b9bea,0x04425d676804413171de834052c8ccb62a818993,2.054457420485265542,24322011567.741691700165162479,25074238729.630613515235456593,752227161.888921815070294114,300.0000000000013598072775733037949830529682426747458500925785325677420,5104163049702661520761658580393,414906609691893396255,2054457420485265542,24322011567741691700165162479,25074238729630613515235456593
17075672-6,17075672,2023-04-18T19:37:59+00:00,7,0xb27859f6d1142d602d3d285cdbb226462a016f71ed71cff945bb6f4c7a38b3e9,0x69bb8f530290fe9c7ce1c79beaf317570f130fb8,0.7434375,7711105170.557027658499535715,7803983150.952229360258030727,92877980.395201701758495012,119.0135583312591869285549855983261580351173266525505942405593981776137,4745744551815638741537571010911,450000408190732615748,743437500000000000,7711105170557027658499535715,7803983150952229360258030727
17075672-6,17075672,2023-04-18T19:37:59+00:00,8,0x430cbad3cc3cb047a2d4998ccf84d731bf1d2cb45f50560dc39d17374c93d80c,0xb57f356eba8b4666d5ffd1f36f6f52b823ae8e59,0.4,4138450431.035454028648956952,4188233404.293951342917716391,49782973.258497314268759439,118.8638942792866711350475170745635954613823704813281610260201707265835,4737940568664686512177312980184,450743845690732615748,400000000000000000,4138450431035454028648956952,4188233404293951342917716391
17075672-6,17075672,2023-04-18T19:37:59+00:00,9,0x5954545fe341a3f5d2eb570635bbb7e81774eadc343bd1199e657e4940257860,0x043a84794cbd83352699bb0fb19c412dd267bf48,0.311,3212614531.821763627748854466,3251229735.919208781318709856,38615204.09744515356985539,118.7710719757169431067098541652235779634309268683521032066077827516267,4733752335260392560834395263793,451143845690732615748,311000000000000000,3212614531821763627748854466,3251229735919208781318709856
17075672-6,17075672,2023-04-18T19:37:59+00:00,10,0x423275ac23d7568994ac9a956d60e8eb5567b454e37b99ddcd5accc67cf00204,0xbefc15f65274bbb680976513b6e74bf0181e46e4,1.605501403902894021,16515185507.788847606346835645,16713275032.130316578281863087,198089524.341468971935027442,118.5222668571259530914924453726623072135654818370624877004845143532889,4730501105524473352053076553937,451454845690732615748,1605501403902894021,16515185507788847606346835645,16713275032130316578281863087
17076120-20,17076120,2023-04-18T21:08:23+00:00,21,0x7afa3ad66510006289f3dd21c7953b6ca0c178c437da288d2b02571fcbd09250,0xd9d9cb8037d8a11a511398c3a790ded9bdf21b08,3.2,33476574104.186318487662885341,33752359265.83889689326571007,275785161.652578405602824729,81.70841021229095182029718160825708005047920909698423142241444017193621,4832181030807870808302151091324,453565533393157424763,3200000000000000000,33476574104186318487662885341,33752359265838896893265710070
17076120-20,17076120,2023-04-18T21:08:23+00:00,22,0x89961d4e507174b345724de4c20f4f0347f7d103dabadb8b309f92de769d6c54,0x3a1f043277f85ec9c1900096f322fb379af5a496,0.3,3114500391.712095425187446513,3140059218.766296775906795516,25558827.054201350719349003,81.39600330290331877772132444810513378589794589402547807894603311584984,4798428671542031911408885381254,456765533393157424763,300000000000000000,3114500391712095425187446513,3140059218766296775906795516
